date,query,count
2026-05-15,total,7921959
2026-05-15,claude,429008
2026-05-15,copilot,9652
2026-05-15,devin,523
2026-05-15,aider,284
2026-05-15,codex,1
2026-05-15,opencode,159
2026-05-15,cursor_editor,33998
2026-05-15,cursor_bg,1
2026-05-15,jules,2801
2026-05-15,amazonq,0
