date,query,count
2026-06-06,total,7661239
2026-06-06,claude,414063
2026-06-06,copilot,3446
2026-06-06,devin,522
2026-06-06,aider,236
2026-06-06,codex,1
2026-06-06,opencode,113
2026-06-06,cursor_editor,38518
2026-06-06,cursor_bg,21
2026-06-06,jules,2383
2026-06-06,amazonq,6
