date,query,count
2026-05-24,total,6754924
2026-05-24,claude,401250
2026-05-24,copilot,6071
2026-05-24,devin,741
2026-05-24,aider,169
2026-05-24,codex,1
2026-05-24,opencode,114
2026-05-24,cursor_editor,36241
2026-05-24,cursor_bg,7
2026-05-24,jules,2601
2026-05-24,amazonq,0
