date,query,count
2026-09-13,total,48281914
2026-09-13,claude,700741
2026-09-13,copilot,3389
2026-09-13,devin,539
2026-09-13,aider,252
2026-09-13,codex,1
2026-09-13,opencode,601
2026-09-13,cursor_editor,33972
2026-09-13,cursor_bg,14
2026-09-13,jules,1761
2026-09-13,amazonq,5
