date,query,count
2026-08-11,total,23758680
2026-08-11,claude,577934
2026-08-11,copilot,3156
2026-08-11,devin,1413
2026-08-11,aider,131
2026-08-11,codex,11
2026-08-11,opencode,351
2026-08-11,cursor_editor,52944
2026-08-11,cursor_bg,820
2026-08-11,jules,1682
2026-08-11,amazonq,25
