date,query,count
2026-07-12,total,10516477
2026-07-12,claude,544644
2026-07-12,copilot,3392
2026-07-12,devin,411
2026-07-12,aider,192
2026-07-12,codex,1
2026-07-12,opencode,318
2026-07-12,cursor_editor,41094
2026-07-12,cursor_bg,47
2026-07-12,jules,1846
2026-07-12,amazonq,0
